Seite,Keyword,SV,SV-RBG,KD,Intent,Notizen
/webdesign,webdesign regensburg,,,,"T","Primary – aktuell stark"
/webdesign,webdesigner regensburg,,,,"T",""
/webdesign,webagentur regensburg,,,,"T",""
/webdesign,webentwicklung regensburg,,,,"T",""
/webdesign,website erstellen lassen regensburg,,,,"T","Long-tail"
/webdesign,homepage erstellen lassen regensburg,,,,"T","Synonym"
/webdesign,webdesign agentur regensburg,,,,"T",""
/webdesign,internetagentur regensburg,,,,"T","Altmodisch aber SV?"
/webdesign,website relaunch,,,,"C","National ohne Ortszusatz"
/webdesign,online shop erstellen lassen,,,,"T","National"
/webdesign,online shop erstellen lassen regensburg,,,,"T","Lokal"
/webdesign,shopify agentur regensburg,,,,"T","Prüfen ob SV existiert"
/webdesign,web app entwicklung,,,,"T","National"
/webdesign,web app entwickler,,,,"T",""
/webdesign,svelte entwickler,,,,"T","Nische vermutlich wenig SV"
/webdesign,ux design regensburg,,,,"T","Prüfen ob eigenständig relevant"
/seo,seo regensburg,,,,"T","Primary-Kandidat"
/seo,seo agentur regensburg,,,,"T","Primary-Kandidat"
/seo,suchmaschinenoptimierung regensburg,,,,"T","Formeller ältere Zielgruppe"
/seo,seo beratung regensburg,,,,"T",""
/seo,seo freelancer regensburg,,,,"T",""
/seo,seo audit,,,,"C","National – Einstiegsprodukt"
/seo,seo audit kosten,,,,"C","Preis-Transparenz"
/seo,seo check,,,,"C","Synonym oft kostenlos gemeint"
/seo,website analyse seo,,,,"C",""
/seo,local seo agentur,,,,"T","National"
/seo,seo optimierung,,,,"C","Generisch"
/rundum-sicher,website wartung,,,,"C","Könnten wir nebenbei ranken"
/rundum-sicher,website betreuung,,,,"C",""
/rundum-sicher,website pflege kosten,,,,"C",""
/rundum-sicher,webhosting regensburg,,,,"T","Prüfen ob relevant"
/rundum-sicher,barrierefreie website erstellen,,,,"C","Eher Ratgeber-Thema"
/ratgeber/seo/keyword-recherche,keyword recherche,,,,"I",""
/ratgeber/seo/keyword-recherche,keyword recherche tool,,,,"I",""
/ratgeber/seo/keyword-recherche,keywords finden,,,,"I",""
/ratgeber/seo/onpage-optimierung,onpage optimierung,,,,"I",""
/ratgeber/seo/onpage-optimierung,onpage seo,,,,"I",""
/ratgeber/seo/onpage-optimierung,onpage seo checkliste,,,,"I",""
/ratgeber/seo/onpage-optimierung,meta tags optimieren,,,,"I",""
/ratgeber/seo/technisches-seo,technisches seo,,,,"I",""
/ratgeber/seo/technisches-seo,technical seo,,,,"I","DE vs. EN"
/ratgeber/seo/technisches-seo,core web vitals optimieren,,,,"I",""
/ratgeber/seo/technisches-seo,website geschwindigkeit optimieren,,,,"I",""
/ratgeber/seo/content-optimierung,content optimierung,,,,"I",""
/ratgeber/seo/content-optimierung,seo texte schreiben,,,,"I",""
/ratgeber/seo/content-optimierung,content strategie seo,,,,"I",""
/ratgeber/seo/content-optimierung,seo content,,,,"I",""
/ratgeber/seo/backlinks-linkbuilding,backlinks aufbauen,,,,"I",""
/ratgeber/seo/backlinks-linkbuilding,linkbuilding,,,,"I",""
/ratgeber/seo/backlinks-linkbuilding,backlinks,,,,"I",""
/ratgeber/seo/backlinks-linkbuilding,linkbuilding strategie,,,,"I",""
/ratgeber/seo/local-seo,local seo,,,,"I",""
/ratgeber/seo/local-seo,lokale suchmaschinenoptimierung,,,,"I",""
/ratgeber/seo/local-seo,google business profil optimieren,,,,"I",""
/ratgeber/seo/local-seo,local seo tipps,,,,"I",""
/ratgeber/seo/geo-aeo-einordnung,generative engine optimization,,,,"I","Neues Thema SV steigend?"
/ratgeber/seo/geo-aeo-einordnung,geo seo,,,,"I",""
/ratgeber/seo/geo-aeo-einordnung,answer engine optimization,,,,"I",""
/ratgeber/seo/geo-aeo-einordnung,ki suche seo,,,,"I","Deutsche Variante"
/ratgeber/barrierefreiheit,bfsg website,,,,"I",""
/ratgeber/barrierefreiheit,barrierefreiheitsstärkungsgesetz website,,,,"I",""
/ratgeber/barrierefreiheit,bfsg anforderungen,,,,"I",""
/ratgeber/barrierefreiheit,barrierefreie website pflicht,,,,"I","Angst-Keyword"
/ratgeber/barrierefreiheit,wcag checkliste,,,,"I","Integriert in diesen Artikel"
/ratgeber/barrierefreiheit,wcag 2.2 anforderungen,,,,"I",""
/ratgeber/barrierefreiheit,barrierefreie website checkliste,,,,"I",""
/ratgeber/datenschutz,datenschutz website,,,,"I",""
/ratgeber/datenschutz,cookie consent einrichten,,,,"I",""
/ratgeber/datenschutz,datenschutzerklärung website,,,,"I",""
/ratgeber/datenschutz,dsgvo website checkliste,,,,"I",""
/ratgeber/datenschutz,consent manager vergleich,,,,"I/C",""
/ratgeber/technologie/sitejet-baukasten,sitejet erfahrungen,,,,"I",""
/ratgeber/technologie/sitejet-baukasten,sitejet test,,,,"I",""
/ratgeber/technologie/sitejet-baukasten,sitejet wordpress alternative,,,,"I/C","Cross-Link zu wordpress-alternativen"
/ratgeber/technologie/contao,contao cms,,,,"I",""
/ratgeber/technologie/contao,contao erfahrungen,,,,"I",""
/ratgeber/technologie/contao,contao vs typo3,,,,"I/C",""
/ratgeber/technologie/craft-cms,craft cms,,,,"I",""
/ratgeber/technologie/craft-cms,craft cms erfahrungen,,,,"I",""
/ratgeber/technologie/craft-cms,craft cms vs wordpress,,,,"I/C",""
/ratgeber/technologie/cms-vergleich,cms vergleich,,,,"I/C","Hohes SV erwartet"
/ratgeber/technologie/cms-vergleich,bestes cms,,,,"I/C",""
/ratgeber/technologie/cms-vergleich,cms für kleine unternehmen,,,,"I/C",""
/ratgeber/technologie/wordpress-alternativen,wordpress alternativen,,,,"I/C","Hohes SV erwartet"
/ratgeber/technologie/wordpress-alternativen,wordpress alternative 2026,,,,"I/C",""
/ratgeber/technologie/wordpress-alternativen,wordpress nachteile,,,,"I",""
/ratgeber/technologie/wordpress-alternativen,sitejet,,,,"I/C","SiteJet als WP-Alternative Cross-Link"
/ratgeber/was-kostet-website,was kostet eine website,,,,"I/C","Hohes SV erwartet"
/ratgeber/was-kostet-website,website kosten,,,,"I/C",""
/ratgeber/was-kostet-website,webdesign preise,,,,"I/C",""
/ratgeber/was-kostet-website,homepage erstellen lassen kosten,,,,"I/C",""
/ratgeber/website-briefing,website briefing vorlage,,,,"I",""
/ratgeber/website-briefing,website konzept erstellen,,,,"I",""
/ratgeber/website-briefing,website briefing,,,,"I",""
/ratgeber/website-relaunch,website relaunch,,,,"I/C","Hohes SV erwartet"
/ratgeber/website-relaunch,website relaunch checkliste,,,,"I",""
/ratgeber/website-relaunch,website relaunch planung,,,,"I",""
/ratgeber/website-relaunch,website neu gestalten,,,,"I/C",""
